sample	ASO	Tardbp_int6_Ct1	Tardbp_int6_Ct2	Gapdh_Ct1	Gapdh_Ct2	Tardbp_int6	Gapdh	delta Ct	delta delta Ct	ratio	ratio_corected
C1	1Ctrl	25.26	24.86	18.99	19.13	25.06	19.06	6	0.32625	0.797607013	0.772817129
C2	1Ctrl	24.4	24.39	19.2	19.27	24.395	19.235	5.16	-0.51375	1.427756547	1.383381412
C3	1Ctrl	23.26	23.41	17.78	17.86	23.335	17.82	5.515	-0.15875	1.116319502	1.081623931
C4	1Ctrl	23.99	23.76	17.85	17.86	23.875	17.855	6.02	0.34625	0.786626122	0.762177528
AS2_1	AS2	24.15	23.82	19.24	19.1	23.985	19.17	4.815	-0.85875	1.813466381	1.75710326
AS2_2	AS2	23.8	23.88	19.04	18.97	23.84	19.005	4.835	-0.83875	1.788499853	1.7329127
AS2_3	AS2	23.28	23.61	18.33	18.83	23.445	18.58	4.865	-0.80875	1.751693059	1.697249872
AS2_4	AS2	24.13	24.13	18.69	18.79	24.13	18.74	5.39	-0.28375	1.217355049	1.179519261
AS5_1	AS5	24.73	24.55	18.85	18.82	24.64	18.835	5.805	0.13125	0.913040019	0.88466244
AS5_2	AS5	24.42	24.38	18.07	18.11	24.4	18.09	6.31	0.63625	0.643383124	0.623386569
AS5_3	AS5	23.85	24.33	17.24	17.54	24.09	17.39	6.7	1.02625	0.490984709	0.475724746
AS5_4	AS5	24.14	24.15	17.78	17.76	24.145	17.77	6.375	0.70125	0.615039085	0.595923471
